,Model,Input shape,Layers,Units,Learning rate,Root Mean Squared Errors (validation)
178,BI_LSTM,12,1,128,1e-05,1.2191460607280284
179,CNN,12,1,128,1e-05,1.0456059533636173
180,NN,18,1,128,0.001,1.9934493030709903
181,MPL,18,1,128,0.001,0.6003245413044556
182,simpl_RNN,18,1,128,0.001,0.9136260217346304
183,LSTM,18,1,128,0.001,1.0951321162425525
184,BI_LSTM,18,1,128,0.001,0.9144162660756796
185,CNN,18,1,128,0.001,0.8832237554333512
186,NN,18,1,128,0.0001,0.4897157303994608
187,MPL,18,1,128,0.0001,0.5025621520125195
188,simpl_RNN,18,1,128,0.0001,0.8132562065121581
189,LSTM,18,1,128,0.0001,1.444449436757585
190,BI_LSTM,18,1,128,0.0001,1.2643931560272088
191,CNN,18,1,128,0.0001,0.6413581940968117
192,NN,18,1,128,1e-05,0.5962126534291311
193,MPL,18,1,128,1e-05,0.742155659218061
194,simpl_RNN,18,1,128,1e-05,1.9717430281864816
195,LSTM,18,1,128,1e-05,1.6602220407366464
196,BI_LSTM,18,1,128,1e-05,1.2062875070155288
197,CNN,18,1,128,1e-05,0.932562171237034
198,NN,24,1,128,0.001,1.0978618937687734
199,MPL,24,1,128,0.001,0.6445711164670755
200,simpl_RNN,24,1,128,0.001,0.7544182635513577
201,LSTM,24,1,128,0.001,0.997973365174582
202,BI_LSTM,24,1,128,0.001,1.7187530062097538
203,CNN,24,1,128,0.001,0.922962644377382
204,NN,24,1,128,0.0001,1.0148972999174808
205,MPL,24,1,128,0.0001,0.5432071447533091
206,simpl_RNN,24,1,128,0.0001,0.5766783774954691
207,LSTM,24,1,128,0.0001,1.2027956414424912
208,BI_LSTM,24,1,128,0.0001,1.199792914781707
209,CNN,24,1,128,0.0001,0.7291921732548762
210,NN,24,1,128,1e-05,1.1363286805306807
211,MPL,24,1,128,1e-05,0.6451789055753551
212,simpl_RNN,24,1,128,1e-05,1.3613942552588183
213,LSTM,24,1,128,1e-05,1.8064283586821632
214,BI_LSTM,24,1,128,1e-05,1.3460085409452909
215,CNN,24,1,128,1e-05,1.108853115294658
216,NN,12,2,16,0.001,1.0441413977582683
217,MPL,12,2,16,0.001,1.2380217509151026
218,simpl_RNN,12,2,16,0.001,0.5037850266811079
219,LSTM,12,2,16,0.001,0.402462626524632
220,BI_LSTM,12,2,16,0.001,0.4729492543074517
221,CNN,12,2,16,0.001,0.7806706439921621
222,NN,12,2,16,0.0001,1.1537483189589977
223,MPL,12,2,16,0.0001,0.7951071264503288
224,simpl_RNN,12,2,16,0.0001,0.7215457585392909
225,LSTM,12,2,16,0.0001,0.524244283838984
226,BI_LSTM,12,2,16,0.0001,
227,CNN,12,2,16,0.0001,1.0097679796326908
228,NN,12,2,16,1e-05,0.8785155499625334
229,MPL,12,2,16,1e-05,1.0293877764657444
230,simpl_RNN,12,2,16,1e-05,0.996156860321788
231,LSTM,12,2,16,1e-05,0.6383443431233159
232,BI_LSTM,12,2,16,1e-05,1.2406327276819558
233,CNN,12,2,16,1e-05,1.1563746130222856
234,NN,18,2,16,0.001,0.5761846215616078
235,MPL,18,2,16,0.001,0.9400433300141564
236,simpl_RNN,18,2,16,0.001,0.2492067462661134
237,LSTM,18,2,16,0.001,
238,BI_LSTM,18,2,16,0.001,
239,CNN,18,2,16,0.001,0.8011283710923229
240,NN,18,2,16,0.0001,0.6297894510244024
241,MPL,18,2,16,0.0001,0.5416728683595662
242,simpl_RNN,18,2,16,0.0001,0.2047100744371101
243,LSTM,18,2,16,0.0001,0.9188885596163195
244,BI_LSTM,18,2,16,0.0001,0.9599373083828252
245,CNN,18,2,16,0.0001,0.7817847820368093
246,NN,18,2,16,1e-05,1.0063718279100913
247,MPL,18,2,16,1e-05,0.9113740460981918
248,simpl_RNN,18,2,16,1e-05,1.0942649900318715
249,LSTM,18,2,16,1e-05,1.7222242183601577
250,BI_LSTM,18,2,16,1e-05,1.325575719667326
251,CNN,18,2,16,1e-05,1.1281592326573675
252,NN,24,2,16,0.001,1.209702608514315
253,MPL,24,2,16,0.001,1.3309274693832134
254,simpl_RNN,24,2,16,0.001,0.6367448027510532
255,LSTM,24,2,16,0.001,
256,BI_LSTM,24,2,16,0.001,0.55665068979079
257,CNN,24,2,16,0.001,0.8628940121402159
258,NN,24,2,16,0.0001,0.8410558568419606
259,MPL,24,2,16,0.0001,0.6585458557615762
260,simpl_RNN,24,2,16,0.0001,0.3338087963720276
261,LSTM,24,2,16,0.0001,3.8321445803585297
262,BI_LSTM,24,2,16,0.0001,
263,CNN,24,2,16,0.0001,0.736038807018517
264,NN,24,2,16,1e-05,1.11642402074103
265,MPL,24,2,16,1e-05,1.056158613773191
266,simpl_RNN,24,2,16,1e-05,0.4862741080052696
267,LSTM,24,2,16,1e-05,1.6992204735564618
268,BI_LSTM,24,2,16,1e-05,2.850676378225859
269,CNN,24,2,16,1e-05,1.183703095053872
270,NN,12,2,32,0.001,0.7023521845531464
271,MPL,12,2,32,0.001,0.7673068233264154
272,simpl_RNN,12,2,32,0.001,0.1947690485014842
273,LSTM,12,2,32,0.001,0.2868650891591444
274,BI_LSTM,12,2,32,0.001,0.545123340026924
275,CNN,12,2,32,0.001,0.6410033833893791
276,NN,12,2,32,0.0001,0.5321711064065353
277,MPL,12,2,32,0.0001,0.8739610011765049
278,simpl_RNN,12,2,32,0.0001,0.2287921673676347
279,LSTM,12,2,32,0.0001,4.047776958990745
280,BI_LSTM,12,2,32,0.0001,1.6476018038297702
281,CNN,12,2,32,0.0001,1.1556021509132817
282,NN,12,2,32,1e-05,0.710091276701465
283,MPL,12,2,32,1e-05,0.7188061754419776
284,simpl_RNN,12,2,32,1e-05,0.5822275683714608
285,LSTM,12,2,32,1e-05,1.0591379464015125
286,BI_LSTM,12,2,32,1e-05,1.0241582040538928
287,CNN,12,2,32,1e-05,1.1124529723894323
288,NN,18,2,32,0.001,0.6159546269751242
289,MPL,18,2,32,0.001,0.5876069020768829
290,simpl_RNN,18,2,32,0.001,0.2157990668823732
291,LSTM,18,2,32,0.001,
292,BI_LSTM,18,2,32,0.001,
293,CNN,18,2,32,0.001,0.9215224784685422
294,NN,18,2,32,0.0001,0.5916506891844288
295,MPL,18,2,32,0.0001,0.6001767312236352
296,simpl_RNN,18,2,32,0.0001,0.2163476403705337
297,LSTM,18,2,32,0.0001,0.6637025238495489
298,BI_LSTM,18,2,32,0.0001,1.119629438044405
299,CNN,18,2,32,0.0001,0.7164900678435481
300,NN,18,2,32,1e-05,0.6562846454269693
301,MPL,18,2,32,1e-05,0.6504054439146341
302,simpl_RNN,18,2,32,1e-05,1.0643137431490877
303,LSTM,18,2,32,1e-05,1.447581903263086
304,BI_LSTM,18,2,32,1e-05,1.2692462322422011
305,CNN,18,2,32,1e-05,1.05407728822523
306,NN,24,2,32,0.001,0.5656110580321806
307,MPL,24,2,32,0.001,0.6530515535073032
308,simpl_RNN,24,2,32,0.001,0.4164998979368451
309,LSTM,24,2,32,0.001,
310,BI_LSTM,24,2,32,0.001,
311,CNN,24,2,32,0.001,0.6953548233060912
312,NN,24,2,32,0.0001,0.6716132232622103
