date,CPI
1990-07-01,14.8957483693162
1990-08-01,15.3211161175674
1990-09-01,15.6755892411101
1990-10-01,16.4633072934272
1990-11-01,17.2273938041748
1990-12-01,17.6265042840154
1991-01-01,17.7407234016014
1991-02-01,17.6882088647803
1991-03-01,18.7988913185473
1991-04-01,18.5927717615244
1991-05-01,18.8619087627327
1991-06-01,18.9997594218883
1991-07-01,18.6045875323091
1991-08-01,19.3424167746461
1991-09-01,20.0224800264799
1991-10-01,21.0898379873696
1991-11-01,21.9064390349383
1991-12-01,22.1204357724844
1992-01-01,22.5825636965104
1992-02-01,22.7611131217024
1992-03-01,23.3702817488276
1992-04-01,23.9571316978038
1992-05-01,24.8065543308857
1992-06-01,26.3964319331457
1992-07-01,25.8542193404674
1992-08-01,26.8375540424433
1992-09-01,27.1959657562476
1992-10-01,27.6305235484425
1992-11-01,28.0860871553658
1992-12-01,28.3237154344816
1993-01-01,28.6795014214447
1993-02-01,29.1101206233781
1993-03-01,30.1052710961387
1993-04-01,30.1315283645492
1993-05-01,31.2894739014554
1993-06-01,30.4597442196813
1993-07-01,30.28250765791
1993-08-01,31.0689128468066
1993-09-01,31.7817976841535
1993-10-01,32.4369165309973
1993-11-01,32.7900767911194
1993-12-01,32.8898544110796
1994-01-01,34.6070797651309
1994-02-01,35.556280018173
1994-03-01,36.4175184220396
1994-04-01,36.7378570966485
1994-05-01,39.1417100196363
1994-06-01,39.295315039838
1994-07-01,39.3859026158545
1994-08-01,40.6698830411314
1994-09-01,42.998902749149
1994-10-01,43.9651702266578
1994-11-01,44.477186960664
1994-12-01,45.5471706483947
1995-01-01,48.5470635643023
1995-02-01,48.6376511403188
1995-03-01,49.1903666403613
1995-04-01,49.3124629384704
1995-05-01,51.1767289956208
1995-06-01,51.780646169064
1995-07-01,51.1924833566672
1995-08-01,53.072503774864
1995-09-01,54.0834086086709
1995-10-01,54.0308940718497
1995-11-01,54.8724395244085
1995-12-01,55.4881724686364
1996-01-01,58.00624450921
1996-02-01,59.0473452016891
1996-03-01,59.827186073483
1996-04-01,59.9519080984332
1996-05-01,62.5014888610996
1996-06-01,62.8100117649237
1996-07-01,61.0875349571904
1996-08-01,61.8700015558253
1996-09-01,62.2901178503944
1996-10-01,62.9465495606588
1996-11-01,63.2590110547445
1996-12-01,63.856363911085
1997-01-01,65.8532291737087
1997-02-01,64.8554529741071
1997-03-01,64.2384071664588
1997-04-01,64.06773492179
1997-05-01,64.1071208244059
1997-06-01,64.3040503374852
1997-07-01,64.0546062875848
1997-08-01,64.3565648743063
1997-09-01,64.9342247793388
1997-10-01,64.8291957056966
1997-11-01,66.4177604445361
1997-12-01,67.7174952308592
1998-01-01,69.3585745065199
1998-02-01,67.612466157217
1998-03-01,67.704366596654
1998-04-01,67.7174952308592
1998-05-01,67.6387234256275
1998-06-01,67.2448643994689
1998-07-01,66.1683163946356
1998-08-01,67.6255947914222
1998-09-01,68.9253295777454
1998-10-01,68.5577278199975
1998-11-01,69.3979604091357
1998-12-01,70.382607974532
1999-01-01,71.4328987109549
1999-02-01,69.7918194352942
1999-03-01,70.3563507061214
1999-04-01,69.594889922215
1999-05-01,70.2644502666845
1999-06-01,69.8180767037048
1999-07-01,68.4526987463551
1999-08-01,69.0041013829772
1999-09-01,70.1594211930422
1999-10-01,69.686790361652
1999-11-01,70.1856784614528
1999-12-01,71.2359691978756
2000-01-01,73.0345920839996
2000-02-01,71.485413247776
2000-03-01,71.5247991503918
2000-04-01,70.2381929982739
2000-05-01,69.9231057773471
2000-06-01,68.9909727487718
2000-07-01,68.0325824517861
2000-08-01,69.0041013829772
2000-09-01,69.4767322143674
2000-10-01,69.411089043341
2000-11-01,70.382607974532
2000-12-01,71.3278696373125
2001-01-01,72.2074881290666
2001-02-01,71.3147410031073
2001-03-01,72.1155876896297
2001-04-01,71.8136291029081
2001-05-01,73.5991233548269
2001-06-01,73.5072229153899
2001-07-01,72.3256458369142
2001-08-01,72.6932475946622
2001-09-01,73.1396211576418
2001-10-01,73.5203515495951
2001-11-01,75.5027753145931
2001-12-01,76.7106096614793
2002-01-01,76.6974810272741
2002-02-01,75.8047339013146
2002-03-01,75.3058458015139
2002-04-01,74.0454969178065
2002-05-01,73.9010819415484
2002-06-01,72.8507912051256
2002-07-01,72.4306749105564
2002-08-01,72.7457621314833
2002-09-01,73.3628079391317
2002-10-01,73.2315215970788
2002-11-01,75.0038872147923
2002-12-01,75.5290325830037
2003-01-01,75.0564017516134
2003-02-01,75.2139453620768
2003-03-01,74.5181277491968
2003-04-01,74.715057262276
2003-05-01,76.1854642932679
2003-06-01,76.3036220011155
2003-07-01,74.5706422860179
2003-08-01,75.6997048276724
2003-09-01,76.9469250771745
2003-10-01,77.248883663896
2003-11-01,78.9293488421725
2003-12-01,78.5092325476034
2004-01-01,79.7170668944895
2004-02-01,78.3411860297757
2004-03-01,79.3087663707052
2004-04-01,78.8111911343249
2004-05-01,79.0671995013279
2004-06-01,77.9538913207198
