date,CPI(%)
2013-02-01,5.3847672964246796
2013-03-01,4.412432677957579
2013-04-01,3.0612901151200584
2013-05-01,3.452535760728033
2013-06-01,4.48676144515419
2013-07-01,3.5158277114690786
2013-08-01,3.2762710777719417
2013-09-01,2.173358827278353
2013-10-01,0.12503907471098794
2013-11-01,0.6589368307676381
2013-12-01,1.1484098939926972
2014-01-01,0.6673735420693873
2014-02-01,0.5621837716286301
2014-03-01,0.8638369274749246
2014-04-01,0.6801872074884706
2014-05-01,1.709509144616867
2014-06-01,2.79615528648169
2014-07-01,3.32121819776882
2014-08-01,2.7253538614355493
2014-09-01,3.942361674255919
2014-10-01,6.125507336871509
2014-11-01,6.388871404292967
2014-12-01,5.252651278852057
2015-01-01,4.653035935563402
2015-02-01,5.596620908131122
2015-03-01,5.489833641404463
